category,feature
catastrophizing,will fail
catastrophizing,will go wrong
catastrophizing,will end
catastrophizing,will be impossible
catastrophizing,will not happen
catastrophizing,will be terrible
catastrophizing,will be horrible
catastrophizing,will be a catastrophe
catastrophizing,will be a disaster
catastrophizing,will never end
catastrophizing,will not end
dichotomous_reasoning,only
dichotomous_reasoning,every
dichotomous_reasoning,everyone
dichotomous_reasoning,everybody
dichotomous_reasoning,everything
dichotomous_reasoning,everywhere
dichotomous_reasoning,always
dichotomous_reasoning,perfect
dichotomous_reasoning,the best
dichotomous_reasoning,all
dichotomous_reasoning,not a single
dichotomous_reasoning,no one
dichotomous_reasoning,nobody
dichotomous_reasoning,nothing
dichotomous_reasoning,nowhere
dichotomous_reasoning,never
dichotomous_reasoning,worthless
dichotomous_reasoning,the worst
dichotomous_reasoning,neither
dichotomous_reasoning,nor
dichotomous_reasoning,either or
dichotomous_reasoning,black or white
dichotomous_reasoning,ever
disqualifying_the_positive,great but
disqualifying_the_positive,good but
disqualifying_the_positive,OK but
disqualifying_the_positive,not that great
disqualifying_the_positive,not that good
disqualifying_the_positive,it was not
disqualifying_the_positive,not all that
disqualifying_the_positive,fine but
disqualifying_the_positive,acceptable but
disqualifying_the_positive,great yet
disqualifying_the_positive,good yet
disqualifying_the_positive,OK yet
disqualifying_the_positive,fine yet
disqualifying_the_positive,acceptable yet
emotional_reasoning,but I feel
emotional_reasoning,since I feel
emotional_reasoning,because I feel
emotional_reasoning,but it feels
emotional_reasoning,since it feels
emotional_reasoning,because it feels
emotional_reasoning,still feels
fortune-telling,I will not
fortune-telling,we will not
fortune-telling,you will not
fortune-telling,they will not
fortune-telling,it will not
fortune-telling,that will not
fortune-telling,he will not
fortune-telling,she will not
labeling_&_mislabeling,I am a
labeling_&_mislabeling,he is a
labeling_&_mislabeling,she is a
labeling_&_mislabeling,they are a
labeling_&_mislabeling,it is a
labeling_&_mislabeling,that is a
labeling_&_mislabeling,sucks at
labeling_&_mislabeling,suck at
labeling_&_mislabeling,I never
labeling_&_mislabeling,he never
labeling_&_mislabeling,she never
labeling_&_mislabeling,you never
labeling_&_mislabeling,we never
labeling_&_mislabeling,they never
labeling_&_mislabeling,I am an
labeling_&_mislabeling,he is an
labeling_&_mislabeling,she is an
labeling_&_mislabeling,they are an
labeling_&_mislabeling,it is an
labeling_&_mislabeling,that is an
labeling_&_mislabeling,a burden
labeling_&_mislabeling,a complete
labeling_&_mislabeling,a completely
labeling_&_mislabeling,a huge
labeling_&_mislabeling,a loser
labeling_&_mislabeling,a major
labeling_&_mislabeling,a total
labeling_&_mislabeling,a totally
labeling_&_mislabeling,a weak
labeling_&_mislabeling,an absolute
labeling_&_mislabeling,an utter
labeling_&_mislabeling,a bad
labeling_&_mislabeling,a broken
labeling_&_mislabeling,a damaged
labeling_&_mislabeling,a helpless
labeling_&_mislabeling,a hopeless
labeling_&_mislabeling,an incompetent
labeling_&_mislabeling,a toxic
labeling_&_mislabeling,an ugly
labeling_&_mislabeling,an undesirable
labeling_&_mislabeling,an unlovable
labeling_&_mislabeling,a worthless
labeling_&_mislabeling,a horrible
labeling_&_mislabeling,a terrible
magnification_&_minimization,worst
magnification_&_minimization,best
magnification_&_minimization,not important
magnification_&_minimization,not count
magnification_&_minimization,not matter
magnification_&_minimization,no matter
magnification_&_minimization,the only thing
magnification_&_minimization,the one thing 
mental-filtering,I see only
mental-filtering,all I see
mental-filtering,all I can see
mental-filtering,can only think
mental-filtering,nothing good
mental-filtering,nothing right
mental-filtering,completely bad
mental-filtering,completely wrong
mental-filtering,only the bad
mental-filtering,only the worst
mental-filtering,if I just
mental-filtering,if I only
mental-filtering,if it just
mental-filtering,if it only
mindreading,everyone believes
mindreading,everyone knows
mindreading,everyone thinks
mindreading,everyone will believe
mindreading,everyone will know
mindreading,everyone will think
mindreading,nobody believes
mindreading,nobody knows
mindreading,nobody thinks
mindreading,nobody will believe
mindreading,nobody will know
mindreading,nobody will think
mindreading,he believes
mindreading,he knows
mindreading,he thinks
mindreading,he does not believe
mindreading,he does not know
mindreading,he does not think
mindreading,he will believe
mindreading,he will know
mindreading,he will think
mindreading,he will not believe
mindreading,he will not know
mindreading,he will not think
mindreading,she believes
mindreading,she knows
mindreading,she thinks
mindreading,she does not believe
mindreading,she does not know
mindreading,she does not think
mindreading,she will believe
mindreading,she will know
mindreading,she will think
mindreading,she will not believe
mindreading,she will not know
mindreading,she will not think
mindreading,they believe
mindreading,they know
mindreading,they think
mindreading,they do not believe
mindreading,they do not know
mindreading,they do not think
mindreading,they will believe
mindreading,they will know
mindreading,they will think
mindreading,they will not believe
mindreading,they will not know
mindreading,they will not think
mindreading,we believe
mindreading,we know
mindreading,we think
mindreading,we do not believe
mindreading,we do not know
mindreading,we do not think
mindreading,we will believe
mindreading,we will know
mindreading,we will think
mindreading,we will not believe
mindreading,we will not know
mindreading,we will not think
mindreading,you believe
mindreading,you know
mindreading,you think
mindreading,you do not believe
mindreading,you do not know
mindreading,you do not think
mindreading,you will believe
mindreading,you will know
mindreading,you will think
mindreading,you will not believe
mindreading,you will not know
mindreading,you will not think
overgeneralizing,all of the time
overgeneralizing,all of them
overgeneralizing,all the time
overgeneralizing,always happens
overgeneralizing,always like
overgeneralizing,happens every time
overgeneralizing,completely
overgeneralizing,no one ever
overgeneralizing,nobody ever
overgeneralizing,every single one of them
overgeneralizing,every single one of you
overgeneralizing,I always
overgeneralizing,you always
overgeneralizing,he always
overgeneralizing,she always
overgeneralizing,they always
overgeneralizing,I am always
overgeneralizing,you are always
overgeneralizing,he is always
overgeneralizing,she is always
overgeneralizing,they are always
personalizing,all me
personalizing,all my
personalizing,because I
personalizing,because my
personalizing,because of my
personalizing,because of me
personalizing,I am responsible
personalizing,blame me
personalizing,I caused
personalizing,I feel responsible
personalizing,all my doing
personalizing,all my fault
personalizing,my bad
personalizing,my responsibility
should_statement,should_statement
should_statement,ought
should_statement,must
should_statement,have to
should_statement,has to